customer_id,name_hash,phone_hash,email_hash,segment,region,industry,client_size,created_at
A0001,cust_c0161,ph_3435560669,em_1742386085,checking,CL,bank,medium,2026-01-01T00:00:00
A0002,cust_c0202,ph_6384896924,em_0851184903,savings,CL,bank,medium,2026-01-01T00:00:00
A0003,cust_c0188,ph_6973084253,em_2181281285,checking,CL,bank,medium,2026-01-01T00:00:00
A0004,cust_c0084,ph_2191640353,em_8933049402,wallet,CL,bank,medium,2026-01-01T00:00:00
A0005,cust_c0052,ph_3567595675,em_8901655102,checking,CL,bank,medium,2026-01-01T00:00:00
A0006,cust_c0070,ph_6693632517,em_4850676494,checking,CL,bank,medium,2026-01-01T00:00:00
A0007,cust_c0207,ph_6407556669,em_1430076739,savings,CL,bank,medium,2026-01-01T00:00:00
A0008,cust_c0120,ph_7735663029,em_6794298083,checking,CL,bank,medium,2026-01-01T00:00:00
A0009,cust_c0174,ph_8130904185,em_2446984034,wallet,CL,bank,medium,2026-01-01T00:00:00
A0010,cust_c0024,ph_6458113104,em_9268560171,savings,CL,bank,medium,2026-01-01T00:00:00
A0011,cust_c0138,ph_2099162141,em_1177629585,checking,CL,bank,medium,2026-01-01T00:00:00
A0012,cust_c0173,ph_3365690003,em_2719491877,wallet,CL,bank,medium,2026-01-01T00:00:00
A0013,cust_c0211,ph_0034792788,em_8221185466,wallet,CL,bank,medium,2026-01-01T00:00:00
A0014,cust_c0173,ph_5880763595,em_7049792057,checking,CL,bank,medium,2026-01-01T00:00:00
A0015,cust_c0159,ph_3985557270,em_8733018344,wallet,CL,bank,medium,2026-01-01T00:00:00
A0016,cust_c0166,ph_2036888700,em_1725977020,checking,CL,bank,medium,2026-01-01T00:00:00
A0017,cust_c0167,ph_0652587954,em_7695147715,savings,CL,bank,medium,2026-01-01T00:00:00
A0018,cust_c0012,ph_6460001933,em_7556735972,checking,CL,bank,medium,2026-01-01T00:00:00
A0019,cust_c0030,ph_8088693921,em_0451097618,checking,CL,bank,medium,2026-01-01T00:00:00
A0020,cust_c0100,ph_4137602896,em_5783756576,savings,CL,bank,medium,2026-01-01T00:00:00
A0021,cust_c0151,ph_1403267207,em_2043179093,wallet,CL,bank,medium,2026-01-01T00:00:00
A0022,cust_c0168,ph_7679576767,em_5183058092,checking,CL,bank,medium,2026-01-01T00:00:00
A0023,cust_c0072,ph_3516031413,em_9497304012,checking,CL,bank,medium,2026-01-01T00:00:00
A0024,cust_c0114,ph_5632132900,em_3541779455,savings,CL,bank,medium,2026-01-01T00:00:00
A0025,cust_c0026,ph_9848707725,em_2675794837,wallet,CL,bank,medium,2026-01-01T00:00:00
A0026,cust_c0016,ph_1755831620,em_3089937778,savings,CL,bank,medium,2026-01-01T00:00:00
A0027,cust_c0032,ph_4876528341,em_6677529356,savings,CL,bank,medium,2026-01-01T00:00:00
A0028,cust_c0165,ph_6327163854,em_6752430494,wallet,CL,bank,medium,2026-01-01T00:00:00
A0029,cust_c0202,ph_2209121265,em_3478480636,savings,CL,bank,medium,2026-01-01T00:00:00
A0030,cust_c0202,ph_0782041385,em_3220634487,wallet,CL,bank,medium,2026-01-01T00:00:00
A0031,cust_c0213,ph_5345315405,em_4786418152,wallet,CL,bank,medium,2026-01-01T00:00:00
A0032,cust_c0209,ph_8913862084,em_5920961471,checking,CL,bank,medium,2026-01-01T00:00:00
A0033,cust_c0202,ph_7976029717,em_6639138138,wallet,CL,bank,medium,2026-01-01T00:00:00
A0034,cust_c0220,ph_8589945208,em_6263490867,checking,CL,bank,medium,2026-01-01T00:00:00
A0035,cust_c0205,ph_1091181913,em_6695103014,checking,CL,bank,medium,2026-01-01T00:00:00
A0036,cust_c0034,ph_5201668751,em_3381735355,checking,CL,bank,medium,2026-01-01T00:00:00
A0037,cust_c0151,ph_1761257555,em_3104784776,savings,CL,bank,medium,2026-01-01T00:00:00
A0038,cust_c0068,ph_0775494656,em_1706794426,checking,CL,bank,medium,2026-01-01T00:00:00
A0039,cust_c0135,ph_1482937412,em_4987792965,checking,CL,bank,medium,2026-01-01T00:00:00
A0040,cust_c0115,ph_8650125179,em_1498340696,savings,CL,bank,medium,2026-01-01T00:00:00
A0041,cust_c0116,ph_0692400709,em_2312165175,wallet,CL,bank,medium,2026-01-01T00:00:00
A0042,cust_c0187,ph_4756401773,em_7644514563,wallet,CL,bank,medium,2026-01-01T00:00:00
A0043,cust_c0118,ph_7212076676,em_5964700593,wallet,CL,bank,medium,2026-01-01T00:00:00
A0044,cust_c0123,ph_4168023913,em_5289359039,savings,CL,bank,medium,2026-01-01T00:00:00
A0045,cust_c0126,ph_0537049698,em_5494484838,wallet,CL,bank,medium,2026-01-01T00:00:00
A0046,cust_c0021,ph_5548981546,em_4069234797,savings,CL,bank,medium,2026-01-01T00:00:00
A0047,cust_c0033,ph_2599095057,em_6711000841,savings,CL,bank,medium,2026-01-01T00:00:00
A0048,cust_c0153,ph_6920505845,em_5364889777,wallet,CL,bank,medium,2026-01-01T00:00:00
A0049,cust_c0130,ph_5543352396,em_8418506244,wallet,CL,bank,medium,2026-01-01T00:00:00
A0050,cust_c0204,ph_0621359999,em_2385992422,wallet,CL,bank,medium,2026-01-01T00:00:00
A0051,cust_c0111,ph_7505353022,em_3236220587,savings,CL,bank,medium,2026-01-01T00:00:00
A0052,cust_c0087,ph_3985040938,em_4077779381,savings,CL,bank,medium,2026-01-01T00:00:00
A0053,cust_c0187,ph_6592289927,em_8854963271,checking,CL,bank,medium,2026-01-01T00:00:00
A0054,cust_c0081,ph_4437126140,em_6580744972,wallet,CL,bank,medium,2026-01-01T00:00:00
A0055,cust_c0040,ph_1391891252,em_9347488484,wallet,CL,bank,medium,2026-01-01T00:00:00
A0056,cust_c0024,ph_9346996501,em_9380613933,checking,CL,bank,medium,2026-01-01T00:00:00
A0057,cust_c0025,ph_7439771115,em_4540579727,wallet,CL,bank,medium,2026-01-01T00:00:00
A0058,cust_c0143,ph_1974928180,em_6727903761,checking,CL,bank,medium,2026-01-01T00:00:00
A0059,cust_c0106,ph_5501873800,em_4615027531,savings,CL,bank,medium,2026-01-01T00:00:00
A0060,cust_c0074,ph_3209956199,em_0914234011,wallet,CL,bank,medium,2026-01-01T00:00:00
A0061,cust_c0027,ph_4307780273,em_2687565024,wallet,CL,bank,medium,2026-01-01T00:00:00
A0062,cust_c0040,ph_2393250107,em_4487896608,wallet,CL,bank,medium,2026-01-01T00:00:00
A0063,cust_c0217,ph_6882196719,em_6609808983,checking,CL,bank,medium,2026-01-01T00:00:00
A0064,cust_c0030,ph_4744567614,em_9288017597,savings,CL,bank,medium,2026-01-01T00:00:00
A0065,cust_c0217,ph_6878354979,em_7028613655,wallet,CL,bank,medium,2026-01-01T00:00:00
A0066,cust_c0008,ph_6800564746,em_5676564379,checking,CL,bank,medium,2026-01-01T00:00:00
A0067,cust_c0087,ph_4430368568,em_7120760315,savings,CL,bank,medium,2026-01-01T00:00:00
A0068,cust_c0037,ph_5618531474,em_9865304112,wallet,CL,bank,medium,2026-01-01T00:00:00
A0069,cust_c0037,ph_4406848903,em_6647726753,wallet,CL,bank,medium,2026-01-01T00:00:00
A0070,cust_c0192,ph_5758226233,em_2459290804,wallet,CL,bank,medium,2026-01-01T00:00:00
A0071,cust_c0108,ph_2948682762,em_0272471360,savings,CL,bank,medium,2026-01-01T00:00:00
A0072,cust_c0095,ph_1797221108,em_2697878075,savings,CL,bank,medium,2026-01-01T00:00:00
A0073,cust_c0014,ph_8077790724,em_3239919292,checking,CL,bank,medium,2026-01-01T00:00:00
A0074,cust_c0173,ph_2311170171,em_4971161186,checking,CL,bank,medium,2026-01-01T00:00:00
A0075,cust_c0170,ph_9140603039,em_8525430427,savings,CL,bank,medium,2026-01-01T00:00:00
A0076,cust_c0107,ph_3749417399,em_4569801626,savings,CL,bank,medium,2026-01-01T00:00:00
A0077,cust_c0030,ph_3121511758,em_6758118739,savings,CL,bank,medium,2026-01-01T00:00:00
A0078,cust_c0073,ph_4548646973,em_7610222661,wallet,CL,bank,medium,2026-01-01T00:00:00
A0079,cust_c0012,ph_7529604389,em_0841925269,checking,CL,bank,medium,2026-01-01T00:00:00
A0080,cust_c0002,ph_9512368826,em_8261356738,checking,CL,bank,medium,2026-01-01T00:00:00
A0081,cust_c0197,ph_0593904126,em_6856493369,checking,CL,bank,medium,2026-01-01T00:00:00
A0082,cust_c0084,ph_9243599057,em_3295945410,checking,CL,bank,medium,2026-01-01T00:00:00
A0083,cust_c0192,ph_2909315933,em_7167984295,savings,CL,bank,medium,2026-01-01T00:00:00
A0084,cust_c0098,ph_7584219631,em_5560131236,wallet,CL,bank,medium,2026-01-01T00:00:00
