customer_id,name_hash,phone_hash,email_hash,segment,region,industry,client_size,created_at
A,fund_a,ph_6754093710,em_0682250088,fund,CL,afp,systemic,2026-01-01T00:00:00
B,fund_b,ph_0059446430,em_9007220972,fund,CL,afp,systemic,2026-01-01T00:00:00
C,fund_c,ph_3020241589,em_1371295088,fund,CL,afp,systemic,2026-01-01T00:00:00
D,fund_d,ph_8576090122,em_3103033391,fund,CL,afp,systemic,2026-01-01T00:00:00
E,fund_e,ph_8585588799,em_3970208271,fund,CL,afp,systemic,2026-01-01T00:00:00
I001,inst_real_estate,ph_2819816689,em_4436879823,bond_global,GLOBAL,afp,systemic,2026-01-01T00:00:00
I002,inst_tech,ph_8219285466,em_6981243655,bond_local,GLOBAL,afp,systemic,2026-01-01T00:00:00
I003,inst_energy,ph_4849637262,em_6953836305,alternative,GLOBAL,afp,systemic,2026-01-01T00:00:00
I004,inst_financials,ph_5653257113,em_8176541965,bond_local,GLOBAL,afp,systemic,2026-01-01T00:00:00
I005,inst_tech,ph_7400042395,em_8678648972,bond_local,GLOBAL,afp,systemic,2026-01-01T00:00:00
I006,inst_financials,ph_0993365972,em_7976916166,alternative,GLOBAL,afp,systemic,2026-01-01T00:00:00
I007,inst_retail,ph_5622123230,em_7398897163,equity_local,GLOBAL,afp,systemic,2026-01-01T00:00:00
I008,inst_utilities,ph_5567962199,em_0497994320,bond_global,GLOBAL,afp,systemic,2026-01-01T00:00:00
I009,inst_utilities,ph_5522831881,em_9318637952,alternative,GLOBAL,afp,systemic,2026-01-01T00:00:00
I010,inst_energy,ph_2366569489,em_4798235646,alternative,GLOBAL,afp,systemic,2026-01-01T00:00:00
I011,inst_tech,ph_1209919288,em_4827592713,bond_local,GLOBAL,afp,systemic,2026-01-01T00:00:00
I012,inst_financials,ph_3100804941,em_3228565308,bond_global,GLOBAL,afp,systemic,2026-01-01T00:00:00
I013,inst_tech,ph_4513891880,em_7213034125,bond_global,GLOBAL,afp,systemic,2026-01-01T00:00:00
I014,inst_energy,ph_3542235287,em_3958959725,bond_local,GLOBAL,afp,systemic,2026-01-01T00:00:00
