customer_id,name_hash,phone_hash,email_hash,segment,region,industry,client_size,created_at
CUST_000000,nm_394881757,ph_5721220723,em_6726866584,young,north,bank,medium,2026-04-27T00:00:00
CUST_000001,nm_126845856,ph_7942275830,em_2192435911,young,center,bank,medium,2026-10-29T00:00:00
CUST_000002,nm_640351041,ph_6846913767,em_4899217729,business,center,bank,medium,2026-11-27T00:00:00
CUST_000003,nm_141504706,ph_9561253864,em_7315908137,new,north,bank,medium,2026-08-30T00:00:00
CUST_000004,nm_842699004,ph_6368562954,em_961597720,business,south,bank,medium,2026-02-28T00:00:00
CUST_000005,nm_261710599,ph_3921576780,em_472367893,premium,north,bank,medium,2026-05-29T00:00:00
CUST_000006,nm_822040812,ph_183793788,em_1576251004,young,north,bank,medium,2026-02-27T00:00:00
CUST_000007,nm_693181266,ph_6454091764,em_3967662084,mass,south,bank,medium,2026-07-28T00:00:00
CUST_000008,nm_570033097,ph_199713199,em_3651860382,mass,south,bank,medium,2026-03-31T00:00:00
CUST_000009,nm_979344147,ph_5869381994,em_3650982505,premium,center,bank,medium,2026-05-22T00:00:00
CUST_000010,nm_953342514,ph_2081414095,em_6851301920,new,south,bank,medium,2026-11-10T00:00:00
CUST_000011,nm_998988800,ph_3010019184,em_6904839945,premium,center,bank,medium,2026-11-14T00:00:00
CUST_000012,nm_594324971,ph_6113367635,em_3903369884,young,south,bank,medium,2026-03-16T00:00:00
CUST_000013,nm_333359990,ph_893055105,em_4068526289,mass,center,bank,medium,2026-11-27T00:00:00
CUST_000014,nm_222478307,ph_1022363152,em_3079198985,premium,south,bank,medium,2026-02-01T00:00:00
CUST_000015,nm_112836429,ph_5050963666,em_9765809444,business,south,bank,medium,2026-09-05T00:00:00
CUST_000016,nm_875601175,ph_8271736062,em_2389004758,business,center,bank,medium,2026-05-25T00:00:00
CUST_000017,nm_649392258,ph_8903355921,em_7341001151,business,north,bank,medium,2026-07-23T00:00:00
CUST_000018,nm_731890456,ph_4723190228,em_3413147746,premium,center,bank,medium,2026-02-02T00:00:00
CUST_000019,nm_736634896,ph_2434591603,em_2622433445,business,north,bank,medium,2026-01-27T00:00:00
CUST_000020,nm_774889989,ph_4820075651,em_6363112913,new,north,bank,medium,2026-12-23T00:00:00
CUST_000021,nm_773201533,ph_4260759675,em_9776644592,young,south,bank,medium,2026-11-29T00:00:00
CUST_000022,nm_556702466,ph_6109181638,em_8637560230,young,north,bank,medium,2026-12-27T00:00:00
CUST_000023,nm_579954339,ph_6947609707,em_540268465,new,south,bank,medium,2026-03-15T00:00:00
CUST_000024,nm_3718390,ph_9708379219,em_9271087505,premium,south,bank,medium,2026-08-02T00:00:00
CUST_000025,nm_443405820,ph_1194418182,em_7928514220,premium,south,bank,medium,2026-01-10T00:00:00
CUST_000026,nm_48613129,ph_6492261219,em_6668904645,business,south,bank,medium,2026-11-04T00:00:00
CUST_000027,nm_144274115,ph_9587572926,em_3555666551,mass,north,bank,medium,2026-08-15T00:00:00
CUST_000028,nm_172512768,ph_22642412,em_2736055250,business,center,bank,medium,2026-05-23T00:00:00
CUST_000029,nm_141087087,ph_7371172580,em_697827170,business,north,bank,medium,2026-04-04T00:00:00
CUST_000030,nm_477304602,ph_188296991,em_2946673178,business,north,bank,medium,2026-11-06T00:00:00
CUST_000031,nm_22814720,ph_7093759652,em_6542255787,mass,north,bank,medium,2026-03-01T00:00:00
CUST_000032,nm_376528270,ph_8925998793,em_7806267678,new,center,bank,medium,2026-03-29T00:00:00
CUST_000033,nm_42573106,ph_84753255,em_1372370207,mass,center,bank,medium,2026-10-20T00:00:00
CUST_000034,nm_687421865,ph_7838584750,em_2039821706,new,north,bank,medium,2026-04-22T00:00:00
CUST_000035,nm_568592653,ph_6300681565,em_2405573175,premium,north,bank,medium,2026-08-02T00:00:00
CUST_000036,nm_804806825,ph_1615474278,em_3884842150,mass,south,bank,medium,2026-05-23T00:00:00
CUST_000037,nm_231196234,ph_6209525895,em_7776619447,new,center,bank,medium,2026-11-03T00:00:00
CUST_000038,nm_618111145,ph_5869640166,em_6382952503,new,north,bank,medium,2026-12-11T00:00:00
CUST_000039,nm_58397425,ph_9924219248,em_6819842638,new,north,bank,medium,2026-12-28T00:00:00
CUST_000040,nm_576338085,ph_7737632362,em_1418924484,mass,north,bank,medium,2026-08-16T00:00:00
CUST_000041,nm_899197513,ph_883071241,em_8079260039,new,center,bank,medium,2026-06-27T00:00:00
CUST_000042,nm_254180287,ph_8922063196,em_6924675536,business,north,bank,medium,2026-03-05T00:00:00
CUST_000043,nm_32374891,ph_5584098292,em_3893393831,business,center,bank,medium,2026-08-18T00:00:00
CUST_000044,nm_544090232,ph_6628201176,em_3582940912,business,south,bank,medium,2026-06-06T00:00:00
CUST_000045,nm_388261308,ph_9369749467,em_4536467687,business,center,bank,medium,2026-04-24T00:00:00
CUST_000046,nm_144070385,ph_4043035619,em_5522978914,business,north,bank,medium,2026-09-27T00:00:00
CUST_000047,nm_446830578,ph_5632963141,em_4098096987,premium,north,bank,medium,2026-04-29T00:00:00
CUST_000048,nm_707023534,ph_5158193516,em_9535760233,new,south,bank,medium,2026-08-27T00:00:00
CUST_000049,nm_884274955,ph_8330569730,em_8008824686,young,north,bank,medium,2026-03-29T00:00:00
CUST_000050,nm_605005731,ph_3935102177,em_4346301145,young,south,bank,medium,2026-04-22T00:00:00
CUST_000051,nm_437704308,ph_1164906462,em_9254179689,young,north,bank,medium,2026-01-15T00:00:00
CUST_000052,nm_439269828,ph_8524100017,em_2769445237,business,south,bank,medium,2026-06-20T00:00:00
CUST_000053,nm_68809638,ph_2707871708,em_9180806009,premium,center,bank,medium,2026-05-27T00:00:00
CUST_000054,nm_392521570,ph_1463009663,em_3847168675,business,north,bank,medium,2026-02-08T00:00:00
CUST_000055,nm_195329278,ph_4503867224,em_7341467793,young,center,bank,medium,2026-01-25T00:00:00
CUST_000056,nm_144143711,ph_8170121180,em_8136591270,business,south,bank,medium,2026-01-08T00:00:00
CUST_000057,nm_850356220,ph_6243223220,em_6940145406,young,north,bank,medium,2026-12-03T00:00:00
CUST_000058,nm_347524519,ph_8562737044,em_4506393475,premium,south,bank,medium,2026-01-30T00:00:00
CUST_000059,nm_610515787,ph_6868279142,em_7746139378,new,center,bank,medium,2026-02-10T00:00:00
CUST_000060,nm_85656884,ph_5247686379,em_7165450996,business,north,bank,medium,2026-06-17T00:00:00
CUST_000061,nm_692686907,ph_9031801047,em_3005368451,new,north,bank,medium,2026-03-30T00:00:00
CUST_000062,nm_975662119,ph_98660167,em_7743289554,young,south,bank,medium,2026-08-20T00:00:00
